type,driver_abbr,driver_name,driver_team,round,starting_salary,eight_race_average,points_from_last_race
driver,VER,M. Verstappen,RBR,0,30,1,
driver,RUS,G. Russell,MER,0,28.7,2,
driver,NOR,L. Norris,MCL,0,27.4,3,
driver,PIA,O. Piastri,MCL,0,26.1,4,
driver,ANT,K. Antonelli,MER,0,24.8,5,
driver,LEC,C. Leclerc,FER,0,23.5,6,
driver,ALO,F. Alonso,AMR,0,22.2,7,
driver,HAM,L. Hamilton,FER,0,20.9,8,
driver,HAD,I. Hadjar,RBR,0,19.6,9,
driver,GAS,P. Gasly,ALP,0,18.3,10,
driver,STR,L. Stroll,AMR,0,17,11,
driver,SAI,C. Sainz Jr,WIL,0,15.7,12,
driver,LAW,L. Lawson,RBS,0,14.4,13,
driver,ALB,A. Albon,WIL,0,13.1,14,
driver,HUL,N. Hulkenberg,AUD,0,11.8,15,
driver,BOR,G. Bortoleto,AUD,0,10.5,16,
driver,BEA,O. Bearman,HAS,0,9.2,17,
driver,OCO,E. Ocon,HAS,0,7.9,18,
driver,BOT,V. Bottas,CAD,0,4.7,19,
driver,PER,S. Perez,CAD,0,4.7,19,
driver,COL,F. Colapinto,ALP,0,4.7,19,
driver,LIN,A. Lindblad,RBS,0,4.6,20,
team,MER,MER,,0,28.5,1,
team,MCL,MCL,,0,28.5,2,
team,RBR,RBR,,0,25,3,
team,FER,FER,,0,22.5,4,
team,AMR,AMR,,0,20,5,
team,WIL,WIL,,0,17.5,6,
team,RBS,RBS,,0,15,7,
team,ALP,ALP,,0,12.5,8,
team,AUD,AUD,,0,10,9,
team,CAD,CAD,,0,7.5,10,
team,HAS,HAS,,0,5,11,
driver,VER,M. Verstappen,RBR,1,28.2,2,
driver,RUS,G. Russell,MER,1,29.6,2,
driver,NOR,L. Norris,MCL,1,26.7,4,
driver,PIA,O. Piastri,MCL,1,24.1,7,
driver,ANT,K. Antonelli,MER,1,25.9,5,
driver,LEC,C. Leclerc,FER,1,24.5,6,
driver,ALO,F. Alonso,AMR,1,20.2,9,
driver,HAM,L. Hamilton,FER,1,22.1,8,
driver,HAD,I. Hadjar,RBR,1,17.6,11,
driver,GAS,P. Gasly,ALP,1,18.3,10,
driver,STR,L. Stroll,AMR,1,15,12,
driver,SAI,C. Sainz Jr,WIL,1,13.9,13,
driver,LAW,L. Lawson,RBS,1,14.5,13,
driver,ALB,A. Albon,WIL,1,13.9,14,
driver,HUL,N. Hulkenberg,AUD,1,9.8,16,
driver,BOR,G. Bortoleto,AUD,1,12.5,6,
driver,BEA,O. Bearman,HAS,1,11.2,16,
driver,OCO,E. Ocon,HAS,1,9.9,18,
driver,BOT,V. Bottas,CAD,1,4.5,19,
driver,PER,S. Perez,CAD,1,6.4,19,
driver,COL,F. Colapinto,ALP,1,6.7,19,
driver,LIN,A. Lindblad,RBS,1,6.6,18,
team,MER,MER,,1,28.8,,
team,MCL,MCL,,1,25.7,,
team,RBR,RBR,,1,22.4,,
team,FER,FER,,1,23.7,,
team,AMR,AMR,,1,17,,
team,WIL,WIL,,1,16.1,,
team,RBS,RBS,,1,17.4,,
team,ALP,ALP,,1,14.2,,
team,AUD,AUD,,1,9.8,,
team,CAD,CAD,,1,7.3,,
team,HAS,HAS,,1,8,,
driver,RUS,G. Russell,MER,2,29.5,2,171
driver,ANT,K. Antonelli,MER,2,27.5,5,174
driver,VER,M. Verstappen,RBR,2,26.2,4,132
driver,LEC,C. Leclerc,FER,2,24.8,6,164
driver,NOR,L. Norris,MCL,2,24.7,6,107
driver,HAM,L. Hamilton,FER,2,24.1,7,169
driver,PIA,O. Piastri,MCL,2,22.1,8,50
driver,GAS,P. Gasly,ALP,2,19.8,10,143
driver,ALO,F. Alonso,AMR,2,18.2,10,78
driver,HAD,I. Hadjar,RBR,2,18.1,11,118
driver,LAW,L. Lawson,RBS,2,16.5,13,142
driver,SAI,C. Sainz Jr,WIL,2,15.9,12,123
driver,BEA,O. Bearman,HAS,2,13.2,15,186
driver,STR,L. Stroll,AMR,2,13,13,75
driver,ALB,A. Albon,WIL,2,11.9,15,68
driver,HUL,N. Hulkenberg,AUD,2,11.8,16,81
driver,OCO,E. Ocon,HAS,2,10.7,17,124
driver,BOR,G. Bortoleto,AUD,2,10.5,16,90
driver,COL,F. Colapinto,ALP,2,8.7,18,130
driver,LIN,A. Lindblad,RBS,2,8.6,17,143
driver,PER,S. Perez,CAD,2,7.3,19,102
driver,BOT,V. Bottas,CAD,2,6.5,19,94
team,MER,MER,,2,29.1,,177
team,FER,FER,,2,24.6,,163
team,MCL,MCL,,2,22.7,,77
team,RBR,RBR,,2,21.7,,110
team,RBS,RBS,,2,17.3,,123
team,ALP,ALP,,2,16.8,,121
team,AMR,AMR,,2,15.7,,72
team,WIL,WIL,,2,13.8,,78
team,HAS,HAS,,2,11,,125
team,AUD,AUD,,2,9.7,,80
team,CAD,CAD,,2,9,,83
driver,RUS,G. Russell,MER,3,29.5,3,164
driver,ANT,K. Antonelli,MER,3,28.7,4,173
driver,LEC,C. Leclerc,FER,3,26.3,5,162
driver,NOR,L. Norris,MCL,3,24.7,6,118
driver,VER,M. Verstappen,RBR,3,24.6,5,133
driver,PIA,O. Piastri,MCL,3,24.1,8,91
driver,HAM,L. Hamilton,FER,3,23.4,7,158
driver,GAS,P. Gasly,ALP,3,21.7,10,143
driver,LAW,L. Lawson,RBS,3,18,12,140
driver,HAD,I. Hadjar,RBR,3,17.7,11,117
driver,ALO,F. Alonso,AMR,3,16.2,11,79
driver,SAI,C. Sainz Jr,WIL,3,14.9,13,115
driver,HUL,N. Hulkenberg,AUD,3,13.3,15,95
driver,OCO,E. Ocon,HAS,3,12.7,16,130
driver,BOR,G. Bortoleto,AUD,3,11.5,16,98
driver,BEA,O. Bearman,HAS,3,11.2,15,142
driver,STR,L. Stroll,AMR,3,11,14,69
driver,ALB,A. Albon,WIL,3,9.9,16,70
driver,LIN,A. Lindblad,RBS,3,9.7,17,131
driver,COL,F. Colapinto,ALP,3,9,17,117
driver,PER,S. Perez,CAD,3,7.5,18,97
driver,BOT,V. Bottas,CAD,3,6.2,19,87
team,MER,MER,,3,29.3,,175
team,FER,FER,,3,24.6,,161
team,MCL,MCL,,3,23.8,,106
team,RBR,RBR,,3,21.8,,116
team,ALP,ALP,,3,17.5,,120
team,RBS,RBS,,3,17.3,,120
team,AMR,AMR,,3,12.8,,69
team,WIL,WIL,,3,12.7,,80
team,HAS,HAS,,3,11.2,,114
team,AUD,AUD,,3,10.8,,92
team,CAD,CAD,,3,8.4,,80
driver,ANT,K. Antonelli,MER,4,28.8,4,176
driver,RUS,G. Russell,MER,4,28.7,3,165
driver,NOR,L. Norris,MCL,4,26.7,6,136
driver,LEC,C. Leclerc,FER,4,25.9,6,161
driver,PIA,O. Piastri,MCL,4,25.7,8,114
driver,VER,M. Verstappen,RBR,4,25.3,5,144
driver,HAM,L. Hamilton,FER,4,23.3,7,157
driver,GAS,P. Gasly,ALP,4,19.7,11,130
driver,SAI,C. Sainz Jr,WIL,4,16.4,12,122
driver,LAW,L. Lawson,RBS,4,16,13,126
driver,HAD,I. Hadjar,RBR,4,15.7,13,100
driver,ALO,F. Alonso,AMR,4,15.1,12,85
driver,OCO,E. Ocon,HAS,4,13.2,15,127
driver,BEA,O. Bearman,HAS,4,12.9,15,140
driver,BOR,G. Bortoleto,AUD,4,12.7,15,105
driver,ALB,A. Albon,WIL,4,11.9,15,87
driver,HUL,N. Hulkenberg,AUD,4,11.3,16,91
driver,COL,F. Colapinto,ALP,4,11,16,135
driver,LIN,A. Lindblad,RBS,4,10.5,16,125
driver,STR,L. Stroll,AMR,4,10.4,15,74
driver,PER,S. Perez,CAD,4,8.1,18,98
driver,BOT,V. Bottas,CAD,4,6,19,85
team,MER,MER,,4,29.4,,174
team,MCL,MCL,,4,24.7,,120
team,FER,FER,,4,24.6,,158
team,RBR,RBR,,4,20,,111
team,ALP,ALP,,4,18,,118
team,RBS,RBS,,4,15.3,,113
team,WIL,WIL,,4,15,,90
team,HAS,HAS,,4,12.6,,113
team,AMR,AMR,,4,11.3,,74
team,AUD,AUD,,4,11,,92
team,CAD,CAD,,4,7.3,,80
